fund_code,fund_name,nav_date,unit_nav,accumulated_nav,daily_growth_rate_percent,source
110008,易方达稳健收益债券B,2019-05-08,1.2976,2.1622,-0.12,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-09,1.2966,2.1612,-0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-10,1.3069,2.1715,0.79,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-13,1.3026,2.1672,-0.33,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-14,1.3021,2.1667,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-15,1.3083,2.1729,0.48,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-16,1.3086,2.1732,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-17,1.3008,2.1654,-0.6,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-20,1.2973,2.1619,-0.27,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-21,1.3016,2.1662,0.33,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-22,1.3016,2.1662,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-23,1.2976,2.1622,-0.31,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-24,1.2972,2.1618,-0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-27,1.3011,2.1657,0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-28,1.3022,2.1668,0.08,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-29,1.3025,2.1671,0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-30,1.2998,2.1644,-0.21,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-05-31,1.2997,2.1643,-0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-03,1.2973,2.1619,-0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-04,1.2945,2.1591,-0.22,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-05,1.2943,2.1589,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-06,1.2904,2.155,-0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-10,1.2936,2.1582,0.25,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-11,1.302,2.1666,0.65,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-12,1.2996,2.1642,-0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-13,1.2983,2.1629,-0.1,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-14,1.2948,2.1594,-0.27,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-17,1.2947,2.1593,-0.01,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-18,1.2947,2.1593,0.0,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-19,1.2992,2.1638,0.35,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-20,1.3082,2.1728,0.69,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-21,1.3121,2.1767,0.3,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-24,1.3125,2.1771,0.03,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-25,1.3089,2.1735,-0.27,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-26,1.3112,2.1758,0.18,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-27,1.3165,2.1811,0.4,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-28,1.3162,2.1808,-0.02,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-06-30,1.3163,2.1809,,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-01,1.3255,2.1901,0.71,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-02,1.326,2.1906,0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-03,1.3251,2.1897,-0.07,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-04,1.3256,2.1902,0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-05,1.3264,2.191,0.06,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-08,1.3192,2.1838,-0.54,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-09,1.3187,2.1833,-0.04,东方财富基金历史净值接口
110008,易方达稳健收益债券B,2019-07-10,1.3169,2.1815,-0.14,东方财富基金历史净值接口
